"","Year","Peak","pct","rd","pm"
"1",2014,"AM",50.8,"Arterial","tti"
"2",2014,"PM",49.2,"Arterial","tti"
"3",2015,"AM",52.3,"Arterial","tti"
"4",2015,"PM",47.7,"Arterial","tti"
"5",2016,"AM",51.2,"Arterial","tti"
"6",2016,"PM",48.8,"Arterial","tti"
"7",2017,"AM",46.5,"Arterial","tti"
"8",2017,"PM",53.5,"Arterial","tti"
"9",2018,"AM",46.1,"Arterial","tti"
"10",2018,"PM",53.9,"Arterial","tti"
"11",2019,"AM",47.7,"Arterial","tti"
"12",2019,"PM",52.3,"Arterial","tti"
"13",2014,"AM",54.6,"Freeway","tti"
"14",2014,"PM",45.4,"Freeway","tti"
"15",2015,"AM",60.3,"Freeway","tti"
"16",2015,"PM",39.7,"Freeway","tti"
"17",2016,"AM",50.9,"Freeway","tti"
"18",2016,"PM",49.1,"Freeway","tti"
"19",2017,"AM",55.6,"Freeway","tti"
"20",2017,"PM",44.4,"Freeway","tti"
"21",2018,"AM",55.5,"Freeway","tti"
"22",2018,"PM",44.5,"Freeway","tti"
"23",2019,"AM",47.4,"Freeway","tti"
"24",2019,"PM",52.6,"Freeway","tti"
"25",2014,"AM",49.5,"Arterial","pti"
"26",2014,"PM",50.5,"Arterial","pti"
"27",2015,"AM",51.7,"Arterial","pti"
"28",2015,"PM",48.3,"Arterial","pti"
"29",2016,"AM",51.6,"Arterial","pti"
"30",2016,"PM",48.4,"Arterial","pti"
"31",2017,"AM",49.1,"Arterial","pti"
"32",2017,"PM",50.9,"Arterial","pti"
"33",2018,"AM",50.9,"Arterial","pti"
"34",2018,"PM",49.1,"Arterial","pti"
"35",2019,"AM",50.8,"Arterial","pti"
"36",2019,"PM",49.2,"Arterial","pti"
"37",2014,"AM",56.1,"Freeway","pti"
"38",2014,"PM",43.9,"Freeway","pti"
"39",2015,"AM",57.4,"Freeway","pti"
"40",2015,"PM",42.6,"Freeway","pti"
"41",2016,"AM",55,"Freeway","pti"
"42",2016,"PM",45,"Freeway","pti"
"43",2017,"AM",55.5,"Freeway","pti"
"44",2017,"PM",44.5,"Freeway","pti"
"45",2018,"AM",49.9,"Freeway","pti"
"46",2018,"PM",50.1,"Freeway","pti"
"47",2019,"AM",48,"Freeway","pti"
"48",2019,"PM",52,"Freeway","pti"
